bvets vehicle performance table 1.00
#,S1a,S1,S2,S3,S4,S5,S6,S7,P1,P2,P3,P4,P5,P6,WF1,WF2,WF3,WF4
#k,13075.53333,,,,,,,,,,,,,,,,,
66,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,259.9176144,2346.821327,2958.251262,4507.932178,5301.962499,11384.14462,17962.41583,22915.58138,28584.99203
67,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1840.417955,2426.417071,3999.226321,4787.621162,10782.87264,17371.33799,22079.80001,27566.38868
68,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1350.67803,1914.166324,3511.558718,4296.121367,10209.9755,16813.89666,21290.27167,26604.27232
69,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,876.7961617,1420.44116,3043.654245,3825.978152,9663.493177,16287.30424,20543.26871,25694.08834
70,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,418.0178379,944.2583047,2594.338542,3375.832283,9141.641932,15789.07244,19835.45279,24831.75743
71,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,484.7026321,2162.528272,2944.437245,8642.794929,15316.97329,19163.82543,24013.61534
72,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,40.92137644,1747.222488,2530.647817,8165.465381,14869.00593,18525.68593,23236.36154
73,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1347.494961,2133.410004,7708.291807,14443.36846,17918.59532,22497.01528
74,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,962.4873512,1751.752146,7270.025115,14038.43381,17340.34549,21792.87787
75,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,591.4031097,1384.777047,6849.517246,13652.72909,16788.9325,21121.50019
76,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,233.5020272,1031.654982,6445.711173,13284.91773,16262.5336,20480.65451
77,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,691.6174863,6057.632057,12933.78411,15759.4872,19868.31016
78,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,363.9518103,5684.37942,12598.22019,15278.27547,19282.61218
79,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,47.99596725,5325.120189,12277.21385,14817.50915,18721.86279
80,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4979.082511,11969.83878,14375.91424,18184.50513
81,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4645.550236,11675.24554,13952.3203,17669.10896
82,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4323.857981,11392.65379,13545.65011,17174.35805
83,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,4013.386715,11121.34538,13154.91066,16699.03909
84,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3713.559793,10860.65831,12779.18503,16242.03181
85,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3423.839392,10609.98132,12417.62525,15802.30029
86,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3143.7233,10368.74915,12069.44596,15378.88513
87,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2872.742019,10136.43827,11733.91876,14970.89656
88,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2610.456142,9912.56312,11410.36709,14577.50824
89,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2356.453985,9696.672736,11098.16176,14197.9517
90,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,2110.349436,9488.347706,10796.71683,13831.51138
91,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1871.779998,9287.197468,10505.48601,13477.52017
92,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1640.405013,9092.857876,10223.95933,13135.35538
93,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1415.904042,8904.989,9951.660162,12804.43507
94,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,1197.975391,8723.273151,9688.142592,12484.21484
95,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,986.3347541,8547.413088,9432.98894,12174.18481
96,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,780.7139858,8377.130404,9185.80758,11873.86695
97,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,580.8599652,8212.164056,8946.230944,11582.81261
98,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,386.53356,8052.269032,8713.913697,11300.60032
99,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,197.5086737,7897.21514,8488.531086,11026.83379
100,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,13.57136981,7746.785909,8269.777429,10761.14
101,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,7600.777574,8057.364738,10503.16756
102,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,7458.998164,7851.021456,10252.58516
103,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,7321.266659,7650.491301,10009.08015
104,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,7187.412221,7455.532213,9772.357255
105,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,7057.273489,7265.915377,9542.137376
106,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6930.697927,7081.42433,9318.156506
107,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6807.541235,6901.854141,9100.164722
108,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6687.666797,6727.010652,8887.925258
109,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6570.945177,6556.709783,8681.213654
110,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6457.253655,6390.776882,8479.816964
111,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6346.475795,6229.046132,8283.533031
112,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6238.501049,6071.359999,8092.169813
113,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6133.22439,5917.568723,7905.544754
114,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,6030.545972,5767.529843,7723.484212
115,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5930.370813,5621.107758,7545.822919
116,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5832.608504,5478.173319,7372.403481
117,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5737.172936,5338.603451,7203.075921
118,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5643.982048,5202.2808,7037.69724
119,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5552.957592,5069.093403,6876.13102
120,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,-4.207743238,3.743577495,5464.024914,4938.934384,6718.247051
